record_id,split,domain
MUSE_20180112_140728_27000,train,chapman_ningbo_china
MUSE_20180712_161421_97000,train,chapman_ningbo_china
MUSE_20180113_134028_37000,train,chapman_ningbo_china
MUSE_20180210_133123_70000,train,chapman_ningbo_china
MUSE_20180116_133433_72000,train,chapman_ningbo_china
MUSE_20180116_122701_32000,train,chapman_ningbo_china
MUSE_20180116_174906_55000,train,chapman_ningbo_china
MUSE_20180118_122927_04000,train,chapman_ningbo_china
MUSE_20180209_111917_56000,train,chapman_ningbo_china
MUSE_20180118_170750_40000,train,chapman_ningbo_china
MUSE_20180116_122957_75000,train,chapman_ningbo_china
MUSE_20180114_132000_63000,train,chapman_ningbo_china
MUSE_20180113_180126_99000,train,chapman_ningbo_china
MUSE_20180114_131540_96000,train,chapman_ningbo_china
MUSE_20180120_122918_86000,train,chapman_ningbo_china
MUSE_20180119_172859_90000,train,chapman_ningbo_china
MUSE_20180113_183623_03000,train,chapman_ningbo_china
MUSE_20180113_075828_14000,train,chapman_ningbo_china
MUSE_20180209_125031_20000,train,chapman_ningbo_china
MUSE_20180112_122435_44000,train,chapman_ningbo_china
MUSE_20180712_151426_58000,train,chapman_ningbo_china
MUSE_20180114_071320_02000,train,chapman_ningbo_china
MUSE_20180120_122320_62000,train,chapman_ningbo_china
MUSE_20180112_122800_11000,train,chapman_ningbo_china
MUSE_20180114_122753_78000,train,chapman_ningbo_china
MUSE_20180119_171554_33000,train,chapman_ningbo_china
MUSE_20180118_174942_75000,train,chapman_ningbo_china
MUSE_20180113_184119_75000,train,chapman_ningbo_china
MUSE_20180209_123929_43000,train,chapman_ningbo_china
MUSE_20180112_165811_70000,train,chapman_ningbo_china
MUSE_20180113_181837_62000,train,chapman_ningbo_china
MUSE_20180116_121423_29000,train,chapman_ningbo_china
MUSE_20180115_134831_81000,train,chapman_ningbo_china
MUSE_20180116_130320_03000,train,chapman_ningbo_china
MUSE_20180210_121232_63000,train,chapman_ningbo_china
MUSE_20180210_124122_72000,train,chapman_ningbo_china
MUSE_20180113_130621_32000,train,chapman_ningbo_china
MUSE_20180115_123044_63000,train,chapman_ningbo_china
MUSE_20180114_124448_52000,train,chapman_ningbo_china
MUSE_20180114_131331_12000,train,chapman_ningbo_china
MUSE_20180118_131037_93000,train,chapman_ningbo_china
MUSE_20180712_152511_55000,train,chapman_ningbo_china
MUSE_20180112_165653_78000,train,chapman_ningbo_china
MUSE_20180116_134054_87000,train,chapman_ningbo_china
MUSE_20180114_074210_40000,train,chapman_ningbo_china
MUSE_20180118_133414_15000,train,chapman_ningbo_china
MUSE_20180114_114754_98000,train,chapman_ningbo_china
MUSE_20180112_120407_45000,train,chapman_ningbo_china
MUSE_20180116_172955_80000,train,chapman_ningbo_china
MUSE_20180119_174832_54000,train,chapman_ningbo_china
MUSE_20180114_124012_30000,train,chapman_ningbo_china
MUSE_20180210_132751_65000,train,chapman_ningbo_china
MUSE_20180114_114703_39000,train,chapman_ningbo_china
MUSE_20180112_120826_22000,train,chapman_ningbo_china
MUSE_20180116_121851_79000,train,chapman_ningbo_china
