split,label,positive_rate
train,AF,0.16760601180891035
train,RBBB,0.04374664519592056
train,LBBB,0.00912506709608159
train,1dAVB,0.021604938271604937
train,SB,0.36647879763821795
train,ST,0.14251207729468598
validation,AF,0.18028169014084508
validation,RBBB,0.046948356807511735
validation,LBBB,0.011267605633802818
validation,1dAVB,0.03755868544600939
validation,SB,0.35774647887323946
validation,ST,0.1596244131455399
test,AF,0.1592296852982621
test,RBBB,0.03945514325974636
test,LBBB,0.006575857209957727
test,1dAVB,0.023954908407703146
test,SB,0.36496007515265383
test,ST,0.15782057303898545
