split,label,positive_rate
train,AF,0.0205491058328546
train,RBBB,0.027856189322896217
train,LBBB,0.017540306748719814
train,1dAVB,0.016668250970213714
train,SB,0.01631281591357142
train,ST,0.021966713093648872
validation,AF,0.020513859151669464
validation,RBBB,0.027834037382095944
validation,LBBB,0.017533707540072913
validation,1dAVB,0.01652103466234593
validation,SB,0.016144899022047337
validation,ST,0.022249869799201436
test,AF,0.019520646838001733
test,RBBB,0.028443546058330927
test,LBBB,0.016979497545480796
test,1dAVB,0.016055443257291364
test,SB,0.015882183078255847
test,ST,0.02165752237943979
