split,label,positive_rate
train,AF,0.06952577793087611
train,RBBB,0.07612814330003445
train,LBBB,0.028131817659892065
train,1dAVB,0.036399127339533814
train,SB,0.029222643242622574
train,ST,0.037949247904466646
validation,AF,0.06917086578103528
validation,RBBB,0.076042143838754
validation,LBBB,0.027943197434722858
validation,1dAVB,0.03664681630783326
validation,SB,0.029317453046266605
validation,ST,0.038021071919377
test,AF,0.06915377616014559
test,RBBB,0.07552320291173795
test,LBBB,0.028207461328480437
test,1dAVB,0.0359417652411283
test,SB,0.029117379435850774
test,ST,0.0373066424021838
