split,label,positive_rate
train,AF,0.025596985982602915
train,RBBB,0.027979389439858164
train,LBBB,0.0028810460413319296
train,1dAVB,0.009307994902764696
train,SB,0.10543520416643581
train,ST,0.02803479417142224
validation,AF,0.029514563106796118
validation,RBBB,0.027184466019417475
validation,LBBB,0.003883495145631068
validation,1dAVB,0.007766990291262136
validation,SB,0.10252427184466019
validation,ST,0.02446601941747573
test,AF,0.02662261951029926
test,RBBB,0.026233968130586864
test,LBBB,0.004275165176836378
test,1dAVB,0.00971628449280995
test,SB,0.10571317528177225
test,ST,0.030314807617567042
