dataset,split,label,auroc,auprc,support
ptbxl,validation,AF,0.974246493194973,0.8480841495740178,151
ptbxl,validation,RBBB,0.982880455884022,0.8723265192858124,166
ptbxl,validation,LBBB,0.980871741783965,0.8072281342068958,61
ptbxl,validation,1dAVB,0.9394317641464573,0.49934091686748433,80
ptbxl,validation,SB,0.9471080108541765,0.48398842238252127,64
ptbxl,validation,ST,0.9670166379804934,0.5670734243886305,83
ptbxl,test,AF,0.9608253588516746,0.8186929359183278,152
ptbxl,test,RBBB,0.988334242481738,0.8791414936898689,166
ptbxl,test,LBBB,0.981635858402803,0.881277181116172,62
ptbxl,test,1dAVB,0.9369358605982043,0.43677836255196434,79
ptbxl,test,SB,0.9380491447985004,0.3561213769310948,64
ptbxl,test,ST,0.9777738715477892,0.6372863239923791,82
code15,validation,AF,0.9851910756441076,0.6756975645546541,709
code15,validation,RBBB,0.9916309028809028,0.7885686923779442,962
code15,validation,LBBB,0.9954409307405002,0.7744542831094854,606
code15,validation,1dAVB,0.9782494191699349,0.531421020739231,571
code15,validation,SB,0.9664139238942583,0.40527383074215206,558
code15,validation,ST,0.9885042481347369,0.6949163619049535,769
code15,test,AF,0.9847177725310923,0.6682642590495269,1352
code15,test,RBBB,0.9931615260260724,0.7922685885039779,1970
code15,test,LBBB,0.9949073763222461,0.8071890687199127,1176
code15,test,1dAVB,0.9802925950312122,0.4728887828968684,1112
code15,test,SB,0.9706832719803671,0.41161385987542226,1100
code15,test,ST,0.9867192935852026,0.6517765495997652,1500
chapman,validation,AF,0.9797095742649866,0.9261127392413395,192
chapman,validation,RBBB,0.9916256157635468,0.8986691356048516,50
chapman,validation,LBBB,0.99667616334283,0.718703314659197,12
chapman,validation,1dAVB,0.6890731707317073,0.0894654196805871,40
chapman,validation,SB,0.9810363616828599,0.9573923243020614,381
chapman,validation,ST,0.969891554387118,0.9135518927716845,170
chapman,test,AF,0.9824557934114467,0.9081693457131066,339
chapman,test,RBBB,0.9664047036907673,0.8301870346894272,84
chapman,test,LBBB,0.9991556906450524,0.8843551289979862,14
chapman,test,1dAVB,0.7568268885995206,0.11372351098116455,51
chapman,test,SB,0.9835402816172046,0.966692816829378,777
chapman,test,ST,0.9762186943935409,0.9027711323035139,336
sph,validation,AF,0.9827062403908932,0.8799764720893137,76
sph,validation,RBBB,0.9996407185628743,0.9816979963546131,70
sph,validation,LBBB,0.9998050682261208,0.9666666666666667,10
sph,validation,1dAVB,0.990880626223092,0.4255877437565023,20
sph,validation,SB,0.9843567654039311,0.8725123658650513,264
sph,validation,ST,0.9868125063188757,0.7497904229397582,63
sph,test,AF,0.9965121176043705,0.8348168891388483,137
sph,test,RBBB,0.9909369756905179,0.9661169388600547,135
sph,test,LBBB,0.9990064580228515,0.9450059288537549,22
sph,test,1dAVB,0.9674529042386185,0.2968131745443102,50
sph,test,SB,0.982532770278907,0.8661800065475531,544
sph,test,ST,0.9819241046194955,0.8381421999323714,156
