dataset,split,label,threshold,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp,support
ptbxl,validation,AF,0.234619140625,0.9633531836921667,0.9742334567450592,0.796516562062776,0.7752808988764046,0.6731707317073171,0.9139072847682119,0.9139072847682119,0.9670275590551181,0.8477476935086613,0.020927438506352435,1965,67,13,138,151
ptbxl,validation,RBBB,0.1590576171875,0.9404489234997709,0.9828714958993137,0.7598788124160801,0.7085201793721972,0.5642857142857143,0.9518072289156626,0.9518072289156626,0.939514129895885,0.872169266305187,0.023008177139674943,1895,122,8,158,166
ptbxl,validation,LBBB,0.0243377685546875,0.9665597801191022,0.9808640163161879,0.677603763808265,0.6010928961748634,0.45081967213114754,0.9016393442622951,0.9016393442622951,0.9684260131950989,0.8070628422406213,0.010826474572508552,2055,67,6,55,61
ptbxl,validation,1dAVB,0.11065673828125,0.8772331653687586,0.939455539705183,0.5326867828280257,0.33663366336633666,0.20987654320987653,0.85,0.85,0.8782691393247741,0.4992488654629423,0.026714553095998003,1847,256,12,68,80
ptbxl,validation,SB,0.1309814453125,0.8671552908841045,0.947078515809344,0.5392945772489706,0.2857142857142857,0.1695906432748538,0.90625,0.90625,0.8659745162812648,0.4838418700803892,0.026436537009263992,1835,284,6,58,64
ptbxl,validation,ST,0.0290374755859375,0.9097572148419606,0.9670137693631671,0.5956850242765088,0.43227665706051877,0.2840909090909091,0.9036144578313253,0.9036144578313253,0.91,0.5670552353648762,0.02587628688514219,1911,189,8,75,83
ptbxl,test,AF,0.234619140625,0.9640582347588716,0.9608124967844833,0.7884738487571207,0.7723342939481268,0.6871794871794872,0.881578947368421,0.881578947368421,0.9701857282502444,0.8179177501097227,0.022684007339374854,1985,61,18,134,152
ptbxl,test,RBBB,0.1590576171875,0.9481346678798908,0.9883401717104638,0.7769658749149964,0.7348837209302325,0.5984848484848485,0.9518072289156626,0.9518072289156626,0.9478346456692913,0.8792005989105656,0.020950837566564153,1926,106,8,158,166
ptbxl,test,LBBB,0.0243377685546875,0.9681528662420382,0.9816283073577384,0.7187009267956207,0.631578947368421,0.46875,0.967741935483871,0.967741935483871,0.9681647940074907,0.8812767139094145,0.008654875490356534,2068,68,2,60,62
ptbxl,test,1dAVB,0.11065673828125,0.8671519563239308,0.9369746895179837,0.5372742543185177,0.3209302325581395,0.19658119658119658,0.8734177215189873,0.8734177215189873,0.8669183577159038,0.4368529832507058,0.027069123914593825,1837,282,10,69,79
ptbxl,test,SB,0.1309814453125,0.8571428571428571,0.9380418228678538,0.5081237046304721,0.259433962264151,0.1527777777777778,0.859375,0.859375,0.8570759137769447,0.3559029664456872,0.028192042110167768,1829,305,9,55,64
ptbxl,test,ST,0.0290374755859375,0.9103730664240218,0.9777594633224215,0.6270784003423432,0.44507042253521123,0.2893772893772894,0.9634146341463414,0.9634146341463414,0.9083175803402647,0.6369053766735123,0.02195013240860818,1922,194,3,79,82
code15,validation,AF,0.072265625,0.9574388056246745,0.9851932421503624,0.630878411011531,0.4759529747060919,0.31839847473784555,0.9421720733427362,0.9421720733427362,0.9577585442944495,0.6756783447832277,0.010490053333938085,32423,1430,41,668,709
code15,validation,RBBB,0.01483917236328125,0.9735258376251374,0.9916294024106524,0.7358293266642544,0.6681175190424375,0.5130919220055711,0.9573804573804574,0.9573804573804574,0.9739880952380953,0.788411315133601,0.008660143753040452,32726,874,41,921,962
code15,validation,LBBB,0.0252685546875,0.9726867658121636,0.9954411008305448,0.6804807459217862,0.5551366635249765,0.38852242744063326,0.971947194719472,0.971947194719472,0.9726999646601484,0.7742125843884372,0.006138140197341354,33029,927,17,589,606
code15,validation,1dAVB,0.017852783203125,0.9219663213934379,0.9782474613013098,0.5613776152128682,0.2874504623513871,0.16925948973242066,0.9527145359019265,0.9527145359019265,0.921449795534112,0.5313625712510479,0.010574899571667998,31321,2670,27,544,571
code15,validation,SB,0.01812744140625,0.9084543718534807,0.9663974278379226,0.521141531821378,0.2412470023980815,0.13925802879291252,0.9014336917562724,0.9014336917562724,0.9085695800494059,0.40526042341174934,0.011825360261163457,30895,3109,55,503,558
code15,validation,ST,0.0352783203125,0.9496556912215728,0.9885033438300659,0.6325226715391392,0.4596273291925465,0.3019175846593227,0.9622886866059818,0.9622886866059818,0.9493682123516705,0.6949558416364717,0.010308438586267944,32082,1711,29,740,769
code15,test,AF,0.072265625,0.9572480508229858,0.9847193246222787,0.6212682014745219,0.46075396102713534,0.30562937907707177,0.9356508875739645,0.9356508875739645,0.9576780349885139,0.6679634541882585,0.009737073311376217,65034,2874,87,1265,1352
code15,test,RBBB,0.01483917236328125,0.9721339878717875,0.9931616618123088,0.7390761861414528,0.6649305555555555,0.5052770448548812,0.9720812182741116,0.9720812182741116,0.9721355327686134,0.7922645423674949,0.008787935128997202,65415,1875,55,1915,1970
code15,test,LBBB,0.0252685546875,0.9739820964481664,0.994907719785523,0.6820096008788528,0.5589818893783651,0.3924398625429553,0.9710884353741497,0.9710884353741497,0.9740320780212679,0.8071322061960343,0.005506331394234678,66316,1768,34,1142,1176
code15,test,1dAVB,0.017852783203125,0.9192751949177014,0.9802918032715929,0.564713538421084,0.27774189381216896,0.1621662392517725,0.966726618705036,0.966726618705036,0.9185009097845865,0.4727544802877779,0.010865844261429846,62594,5554,37,1075,1112
code15,test,SB,0.01812744140625,0.9111030898065261,0.9706670001067008,0.5335872562871471,0.24795407353120802,0.14321998024551996,0.9227272727272727,0.9227272727272727,0.9109154929577464,0.41151443318579434,0.011512340283938964,62088,6072,85,1015,1100
code15,test,ST,0.0352783203125,0.9508951775916835,0.9867105568673751,0.6291903390311395,0.457662254823792,0.30077551875916997,0.9566666666666667,0.9566666666666667,0.950767414403778,0.6515261129488044,0.010830114011640307,64424,3336,65,1435,1500
chapman,validation,AF,0.11517333984375,0.9342723004694836,0.9797095742649866,0.8494452707625061,0.8349056603773585,0.7629310344827587,0.921875,0.921875,0.9369988545246277,0.9260672869849004,0.051188647439929964,818,55,15,177,192
chapman,validation,RBBB,0.127685546875,0.9746478873239437,0.9916157635467979,0.8097060904238215,0.7804878048780488,0.6575342465753424,0.96,0.96,0.9753694581280788,0.899029020147763,0.009537252578357748,990,25,2,48,50
