experiment_id,method,source_dataset,target_dataset,source_domain,target_domain,label_space,canonical_labels,model_architecture,evaluation_metrics,random_seed,source_split_version,target_split_version,split_version,preprocessing_version,input_length,source_root,target_root,split,label,threshold,accuracy,auroc,auprc,f1_score,prec,rec,sensitivity,spec,aprec,br_score,tn,fp,fn,tp,support
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,AF,0.2357744574546814,0.980996670111379,0.9975242370371715,0.8884106117646237,0.87781469176818,0.7937249666221629,0.9818331957060281,0.9818331957060281,0.9809341642500155,0.9741781520006036,0.008487206451581611,15898,309,22,1189,1211
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,RBBB,0.07281176745891571,0.9727293604317373,0.9960667573593617,0.8625833704561249,0.8455284552845528,0.743281875357347,0.9803921568627451,0.9803921568627451,0.9720979368630376,0.9672131274165667,0.01087890284402394,15643,449,26,1300,1326
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,LBBB,0.026043342426419258,0.9868526811344586,0.9987342550441728,0.8341559923689427,0.8077246011754828,0.6861626248216833,0.9816326530612245,0.9816326530612245,0.9870037807183365,0.9767602550046629,0.0035964131776360644,16708,220,9,481,490
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,1dAVB,0.019148238003253937,0.91979561373292,0.9843798397452282,0.6381388469190346,0.4674037361799466,0.30819507290095527,0.9668769716088328,0.9668769716088328,0.9180171591992373,0.7194844603173642,0.018954704876330084,15408,1376,21,613,634
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,SB,0.04113668203353882,0.9248478585371455,0.9814172269194129,0.6065428012223907,0.422075055187638,0.2722095671981777,0.9390962671905697,0.9390962671905697,0.9244189484889703,0.7375024096041053,0.013304970799251031,15631,1278,31,478,509
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_train,ST,0.05233123525977135,0.965150993225399,0.9948027229481264,0.7478587653260073,0.6793449550977284,0.5219155844155844,0.972768532526475,0.972768532526475,0.9648505102345288,0.9088356832161022,0.00980953809515162,16168,589,18,643,661
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,AF,0.2357744574546814,0.9661016949152542,0.9802562966053084,0.8152552279961299,0.7932960893854749,0.6859903381642513,0.9403973509933775,0.9403973509933775,0.968011811023622,0.8856860152609635,0.018293011768472103,1967,65,9,142,151
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,RBBB,0.07281176745891571,0.9587723316536876,0.981930697504943,0.804784882455485,0.7772277227722771,0.6596638655462185,0.9457831325301205,0.9457831325301205,0.9598413485374319,0.8987246182642041,0.020130326189522863,1936,81,9,157,166
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,LBBB,0.026043342426419258,0.9825927622537792,0.9899877937609123,0.7682858817656798,0.7432432432432433,0.632183908045977,0.9016393442622951,0.9016393442622951,0.9849198868991518,0.8457968091776027,0.00939334763895877,2090,32,6,55,61
source_only_cross_domain,source_only,PTBXL,CHAPMAN,ptbxl_germany,chapman_ningbo_china,canonical_six_label,AF|RBBB|LBBB|1dAVB|SB|ST,resnet1d,macro_accuracy|macro_auroc|macro_auprc|macro_f1_score|macro_prec|macro_rec|macro_sensitivity|macro_spec|macro_aprec|macro_br_score|score_macro_auroc|score_micro_auroc|score_macro_auprc|score_micro_auprc,42,official_strat_fold,record_level_random_no_patient_id_seed42,source:official_strat_fold|target:record_level_random_no_patient_id_seed42,shared_alignment_v1,5000,/data/padmalab_external/special_project/public_datasets/WFDB_PTBXL,/data/padmalab_external/special_project/public_datasets/chapman_shaoxing,source_validation,1dAVB,0.019148238003253937,0.9120476408612002,0.9644436519258203,0.5924573408153916,0.4285714285714286,0.28125,0.9,0.9,0.9125059438896814,0.60737189237998,0.022638525111810796,1919,184,8,72,80
